update,timestep,win_rate,avg_points,pg_loss,value_loss,entropy,total_loss,fps,eval_win_rate,eval_avg_points
930,952320,0.51,61.37,-0.00028668354207184166,0.16240924037992954,0.043813836527988315,0.08047979883849621,1012.7071614757637,,
940,962560,0.51,60.13,-0.0023243164469022304,0.11637457460165024,0.06477560754865408,0.05521521414630115,1013.9819048439008,0.34,57.99
950,972800,0.56,64.02,0.0006519093294627964,0.15779143199324608,0.08244388038292527,0.07872318662703037,1013.3502097026413,,
960,983040,0.49,64.77,-0.00019215961219742894,0.19150406774133444,0.05821639462374151,0.09497771132737398,1014.6139684672478,0.34,62.59
970,993280,0.47,58.3,-0.004820989619474858,0.1469542388804257,0.06842864700593054,0.06797184376046062,1014.1018642541449,,
980,1003520,0.52,62.14,0.00012279330985620618,0.13547649420797825,0.08417868567630649,0.06701925420202315,1015.3829777237745,0.35,64.21
990,1013760,0.45,59.25,-0.001075223641237244,0.17697457317262888,0.06924580549821258,0.08671960607171059,1014.777772771238,,
1000,1024000,0.55,65.8,-0.0004582521505653858,0.14438749942928553,0.08818510500714183,0.07085364661179483,1015.7916092702295,0.42,64.7
1010,1034240,0.58,62.62,-0.004815719235921279,0.1396875074133277,0.11750461952760816,0.06385298911482096,1015.1727054820572,,
1020,1044480,0.52,62.87,-0.0014607160119339824,0.16285519395023584,0.0906106885522604,0.07906077429652214,1016.2225874114009,0.42,59.72
1030,1054720,0.51,61.36,0.0009492775425314903,0.13046217150986195,0.11019563162699342,0.06507840752601624,1015.7419689502937,,
1040,1064960,0.45,58.27,0.002717968978686258,0.12025052960962057,0.11678659310564399,0.06167536717839539,1016.8799509472026,0.4,65.1
1050,1075200,0.52,63.24,-0.003108269505901262,0.18386481795459986,0.10957402270287275,0.08772839861921966,1016.2822457378095,,
1060,1085440,0.5,60.05,-0.004191194195300341,0.17362536489963531,0.17132087983191013,0.080908278003335,1017.4228877975762,0.39,68.9
1070,1095680,0.51,60.61,-0.0010078659397549927,0.11790318973362446,0.11097047617658973,0.05683402344584465,1016.9863771897557,,
1080,1105920,0.52,62.32,-0.0029578290414065123,0.19030491821467876,0.09488526405766606,0.09124577604234219,1018.1407993075758,0.3,63.15
1090,1116160,0.46,57.55,1.706313923932612e-05,0.14049484627321362,0.12164533417671919,0.06904803216457367,1017.5720910328162,,
1100,1126400,0.55,59.6,-0.00432201087824069,0.13285906333476305,0.1105604600161314,0.06100191629957408,1018.7798374883118,0.35,61.63
1110,1136640,0.58,64.42,-0.0021138359152246267,0.14637782331556082,0.05243402090854943,0.07055073697119951,1018.2789797095221,,
1120,1146880,0.41,53.84,-0.0011499006359372288,0.1388384043239057,0.05861358251422644,0.06768316635861993,1019.2554101836096,0.42,62.04
1130,1157120,0.56,62.42,-0.0031718410609755665,0.16055272426456213,0.07931367075070739,0.07631138456054032,1018.7866581300552,,
1140,1167360,0.59,64.97,-0.0026858196943067014,0.14209880214184523,0.09217948280274868,0.06744178617373109,1019.7209050677732,0.43,58.73
1150,1177600,0.5,58.41,-0.002986177249113098,0.16228606179356575,0.0973212025128305,0.07718364126048982,1019.0732243869652,,
1160,1187840,0.54,62.4,-0.003766335459658876,0.10953897377476096,0.05768687278032303,0.05042628268711269,1019.9072156184088,0.42,64.5
1170,1198080,0.51,60.07,-0.0018462682201061398,0.17339119035750628,0.08697550371289253,0.08397957170382142,1019.5280080434958,,
1180,1208320,0.57,64.17,-0.003177525184582919,0.14079448394477367,0.0901360772550106,0.06631835573352873,1020.6617066829134,0.47,58.65
1190,1218560,0.43,56.02,0.0033542276069056243,0.1235478213056922,0.06977179180830717,0.06443042168393731,1020.184521617868,,
1200,1228800,0.6,66.31,-0.0033664860238786787,0.14956788625568151,0.11811193218454719,0.07023633806966245,1020.8467688349868,0.41,65.91
1210,1239040,0.58,62.43,-0.0012227811967022717,0.15696902945637703,0.05947512830607593,0.0766669805161655,1019.8729948775449,,
1220,1249280,0.48,60.08,-0.0013984231482027099,0.14228026242926717,0.07661414379253983,0.06897556642070413,1020.4812765438588,0.31,59.5
1230,1259520,0.5,61.72,0.005686479024006985,0.15557775273919106,0.13302539195865393,0.08214510092511773,1019.6948425105791,,
1240,1269760,0.51,59.65,-0.005361191928386688,0.12557648494839668,0.20348399132490158,0.05539220990613103,1020.3941406089803,0.43,59.54
1250,1280000,0.5,62.03,0.0010126607667189091,0.1372652007266879,0.12270904937759042,0.06841817079111934,1019.3668529467266,,
1260,1290240,0.55,62.6,-0.0023826864489819854,0.15139456558972597,0.06680458132177591,0.07264655083417892,1019.693493380901,0.41,59.31
1270,1300480,0.47,57.42,-0.002089156216243282,0.14611446438357234,0.057499163784086704,0.07039308454841375,1018.6782846553599,,
1280,1310720,0.51,58.68,-0.0019231468031648546,0.1278471378609538,0.06653120461851358,0.06133511080406606,1019.5093672913482,0.42,66.59
1290,1320960,0.57,65.32,0.0002071100752800703,0.1281311698257923,0.12522825365886092,0.06302041164599359,1018.8910402133604,,
1300,1331200,0.55,62.57,-0.009486505412496626,0.17331509478390217,0.15091143734753132,0.07566192816011608,1019.5592255360679,0.39,64.28
1310,1341440,0.39,54.62,-0.0011135316162835807,0.15672967955470085,0.06998875737190247,0.0765514203812927,1018.7135200861748,,
1320,1351680,0.52,58.87,-0.003911557621904649,0.15804863721132278,0.18206139281392097,0.07329214760102332,1019.403120816537,0.45,62.03
1330,1361920,0.54,62.26,-0.002315646444913,0.09904147777706385,0.07123088743537664,0.04649278335273266,1018.5517992346583,,
1340,1372160,0.53,64.05,-0.0067622881033457816,0.1524865278042853,0.07687750249169767,0.06871220096945763,1018.8914946716453,0.35,58.19
1350,1382400,0.4,54.24,-0.00134329276625067,0.14935447555035353,0.10318386601284146,0.07230210513807833,1018.1584389344918,,
1360,1392640,0.52,62.65,-0.0012606586096808314,0.16700876876711845,0.0929670250043273,0.0813140554819256,1018.6883371083094,0.39,61.12
1370,1402880,0.53,61.86,-0.003969614859670401,0.14716579345986247,0.08302311832085252,0.06878304947167635,1017.8563416911575,,
1380,1413120,0.49,60.14,-0.001444836874725297,0.1624598717316985,0.125504769384861,0.07853005221113563,1018.372006351854,0.26,59.57
1390,1423360,0.49,61.19,-0.002479123038938269,0.13555644266307354,0.1295097591355443,0.06400400074198842,1017.4186042157946,,
1400,1433600,0.59,64.95,-0.004089624038897455,0.14778116950765252,0.10546065447852015,0.06874635419808328,1017.7375028097186,0.47,62.37
