signature,trump_count,strongest_trump_strength,weakest_trump_strength,max_suit_run,trump_strength_sum,color_aces,total_points,non_trump_points,hand_instances,games,win_rate,win_rate_std,avg_points
4-12-0-2-24-1,4,12.0,,2,24,1,20,15,3,1,0.0,0.0,0.0
2-4-0-3-4-3,2,4.0,0.0,3,4,3,57,53,1,50,0.0,0.0,28.68
6-14-6-1-59-1,6,14.0,6.0,1,59,1,44,21,1,1,0.0,0.0,0.0
4-9-0-2-16-1,4,9.0,,2,16,1,21,15,2,1,0.0,0.0,0.0
3-14-4-3-29-0,3,14.0,4.0,3,29,0,14,4,1,1,0.0,0.0,0.0
3-13-0-2-16-1,3,13.0,,2,16,1,34,31,3,1,0.0,0.0,0.0
3-10-2-3-16-2,3,10.0,2.0,3,16,2,32,26,1,1,0.0,0.0,0.0
2-11-4-4-15-1,2,11.0,4.0,4,15,1,42,35,2,1,0.0,0.0,0.0
4-13-0-2-27-2,4,13.0,,2,27,2,38,22,5,1,0.0,0.0,0.0
3-10-7-2-26-1,3,10.0,7.0,2,26,1,25,19,2,1,0.0,0.0,0.0
6-12-2-1-39-0,6,12.0,2.0,1,39,0,16,4,3,1,0.0,0.0,0.0
3-13-7-3-28-2,3,13.0,7.0,3,28,2,39,32,1,1,0.0,0.0,0.0
4-10-5-3-32-1,4,10.0,5.0,3,32,1,31,15,1,1,0.0,0.0,0.0
5-14-2-2-34-0,5,14.0,2.0,2,34,0,34,8,1,1,0.0,0.0,0.0
3-14-10-2-37-0,3,14.0,10.0,2,37,0,22,14,2,1,0.0,0.0,0.0
6-14-2-2-53-0,6,14.0,2.0,2,53,0,21,0,1,1,0.0,0.0,0.0
4-11-2-3-28-1,4,11.0,2.0,3,28,1,41,25,1,1,0.0,0.0,0.0
3-14-4-2-27-1,3,14.0,4.0,2,27,1,24,15,2,1,0.0,0.0,0.0
3-9-3-2-20-1,3,9.0,3.0,2,20,1,19,15,2,1,0.0,0.0,0.0
5-12-0-1-28-0,5,12.0,,1,28,0,15,0,1,1,0.0,0.0,0.0
2-10-4-3-14-0,2,10.0,4.0,3,14,0,24,18,5,1,0.0,0.0,0.0
