signature,trump_count,strongest_trump_rank,weakest_trump_rank,max_suit_run,total_points,non_trump_points,hand_instances,games,win_rate,win_rate_std,avg_points
3-5-9-3-33,3,5.0,9.0,3,33,19,1,50,0.28,0.06349803146555018,49.86
3-7-12-2-27,3,7.0,12.0,2,27,14,1,50,0.28,0.06349803146555018,50.42
2-7-11-3-26,2,7.0,11.0,3,26,24,1,50,0.28,0.06349803146555018,46.24
3-4-13-3-31,3,4.0,13.0,3,31,25,1,50,0.26,0.06203224967708329,50.22
2-6-11-4-16,2,6.0,11.0,4,16,14,1,50,0.26,0.06203224967708329,47.96
2-5-11-4-27,2,5.0,11.0,4,27,25,1,50,0.26,0.06203224967708329,48.78
3-7-12-2-20,3,7.0,12.0,2,20,14,1,50,0.26,0.06203224967708329,41.14
3-9-13-2-24,3,9.0,13.0,2,24,10,1,50,0.24,0.060398675482166,43.5
1-8-8-3-41,1,8.0,8.0,3,41,30,1,50,0.24,0.060398675482166,45.74
2-9-11-4-45,2,9.0,11.0,4,45,35,1,50,0.24,0.060398675482166,45.5
2-7-13-4-23,2,7.0,13.0,4,23,21,1,50,0.22,0.05858327406350724,41.48
2-8-11-3-46,2,8.0,11.0,3,46,35,1,50,0.22,0.05858327406350724,45.98
2-6-9-3-27,2,6.0,9.0,3,27,15,1,50,0.22,0.05858327406350724,44.94
1-7-7-3-27,1,7.0,7.0,3,27,25,1,50,0.2,0.05656854249492381,42.68
0-99-99-3-28,0,,,3,28,28,1,50,0.2,0.05656854249492381,41.5
1-8-8-3-22,1,8.0,8.0,3,22,11,1,50,0.2,0.05656854249492381,39.38
4-7-13-2-6,4,7.0,13.0,2,6,0,1,50,0.18,0.054332310828824504,42.72
1-7-7-4-32,1,7.0,7.0,4,32,30,1,50,0.18,0.054332310828824504,41.98
1-2-2-4-28,1,2.0,2.0,4,28,25,1,50,0.14,0.04907137658554119,41.2
3-7-11-3-23,3,7.0,11.0,3,23,11,1,50,0.14,0.04907137658554119,43.18
2-4-9-3-45,2,4.0,9.0,3,45,33,1,50,0.02,0.01979898987322333,26.02
